file,source_file,type,classification,evidence_line,sha256,staged_matches_current
i_joystick.c,engine/doomgeneric/doomgeneric/i_joystick.c,c,GPL-2.0-or-later,6,59c12897bf8640fdb302e183ab0c48a12f73fa6bfa06f5cd843a89354039b42c,true
i_joystick.h,engine/doomgeneric/doomgeneric/i_joystick.h,h,GPL-2.0-or-later,6,18775ac34b9a2a3e255736769470f317d385217e6c5d51d025413a080b3bd671,true
i_scale.c,engine/doomgeneric/doomgeneric/i_scale.c,c,GPL-2.0-or-later,7,548fb7fe7cb18c2f2928ceaa7901b68d79d8e4d944e16ec065a32297debf3ee0,true
i_scale.h,engine/doomgeneric/doomgeneric/i_scale.h,h,GPL-2.0-or-later,7,f1e4747ff87f76296855f96bf0c922751574c8db6b270e68544b088d35477979,true
i_sound.c,engine/doomgeneric/doomgeneric/i_sound.c,c,GPL-2.0-or-later,7,bff846e071a044a4384136ae835edb3dc8f5fd765b2115cf4bb33647f6b15607,true
i_sound.h,engine/doomgeneric/doomgeneric/i_sound.h,h,GPL-2.0-or-later,7,c07a1ea44cef406506f9eeb8cf893c9844b435dd1edaf021df1b4fa32dcfdf6c,true
i_swap.h,engine/doomgeneric/doomgeneric/i_swap.h,h,GPL-2.0-or-later,7,a9bbbf94d98551ddb611251e2a0ed2e337d9e671021bb2202e534f42ff974836,true
i_system.h,engine/doomgeneric/doomgeneric/i_system.h,h,GPL-2.0-or-later,7,dab5ad308b069bea9fbc834768e5236bc9235bf9b58e17d26d693e9b57ec4bdb,true
i_timer.c,engine/doomgeneric/doomgeneric/i_timer.c,c,GPL-2.0-or-later,7,44d21fda8843f4ae0aa6168262094b777a0f8133f921eb920db4f29c91d35110,true
i_timer.h,engine/doomgeneric/doomgeneric/i_timer.h,h,GPL-2.0-or-later,7,86910246ea8be00ec564af9cf16aa837fba748f5bf872a724bc5d67d6083d9ef,true
i_video.c,engine/doomgeneric/doomgeneric/i_video.c,c,GPL-2.0-or-later,12,538e8559831a93abadc0ee1ad2bb5714a5dd16bb77f79f5d2949dc46d0cbc807,true
i_video.h,engine/doomgeneric/doomgeneric/i_video.h,h,GPL-2.0-or-later,7,703a04fe1d49205234dcdfbdab216d4fa399f1112900ed3b8260e0bc9b371174,true
info.c,engine/doomgeneric/doomgeneric/info.c,c,GPL-2.0-or-later,7,77b5b3114a4847355c9adeb8e863293e3f8655ab44daeaf2de3dbeb6e6245c02,true
info.h,engine/doomgeneric/doomgeneric/info.h,h,GPL-2.0-or-later,7,c8d57c1f0874b47be85908435db58bd551230ef923b04ac289806be3f3fbfa4f,true
m_argv.c,engine/doomgeneric/doomgeneric/m_argv.c,c,GPL-2.0-or-later,7,585a68163429c8730a6131176fd524adb560eeb0326776035d37825a68eb6f7a,true
m_argv.h,engine/doomgeneric/doomgeneric/m_argv.h,h,GPL-2.0-or-later,7,ce423618afc94484e891208b1854491c2bc432aeb5d4e825ce7818838131d3bf,true
m_bbox.c,engine/doomgeneric/doomgeneric/m_bbox.c,c,GPL-2.0-or-later,7,b94f2c906e4a368e7a16127b809fccdc8746fc64355aff6ee7ad2a667a62fe8e,true
m_bbox.h,engine/doomgeneric/doomgeneric/m_bbox.h,h,GPL-2.0-or-later,7,bd7db12b5ad9b6fbc8d4fcc9d0737fbf9ffba11fca4e9f12b38e46d03a98001b,true
m_cheat.c,engine/doomgeneric/doomgeneric/m_cheat.c,c,GPL-2.0-or-later,7,3ac6cf841c3f1e749d8f45493a587ac8165f9c5a62a1aa8e289785b7b7d5a2b5,true
m_cheat.h,engine/doomgeneric/doomgeneric/m_cheat.h,h,GPL-2.0-or-later,7,500cf65f9a8a27a788828d7b2cc049e37c10f0492c1b47773c05cb665ce0d29d,true
m_config.c,engine/doomgeneric/doomgeneric/m_config.c,c,GPL-2.0-or-later,11,99424d6a6494c0981595707a5b53c6288389310e8a350adfd454ba28def08df4,true
m_config.h,engine/doomgeneric/doomgeneric/m_config.h,h,GPL-2.0-or-later,7,03b17c237f02b45e0600803d987807bce7ce4c965ff321db0068eba4890f1c94,true
m_controls.c,engine/doomgeneric/doomgeneric/m_controls.c,c,GPL-2.0-or-later,8,efc4fe3a6bf6ef50246f97f2f3ec84b1d794c75fc69efd56cbb161aa00c2b32b,true
m_controls.h,engine/doomgeneric/doomgeneric/m_controls.h,h,GPL-2.0-or-later,8,0990e66e455fcbed66fb2d456c646d13861ba1a3c1f75a3cddda4d221266074d,true
m_fixed.c,engine/doomgeneric/doomgeneric/m_fixed.c,c,GPL-2.0-or-later,7,8a5c16cddf5ac8cb97ba5a3c14ed7f4762dc5a7c423be49dadd9c7210bf745f4,true
m_fixed.h,engine/doomgeneric/doomgeneric/m_fixed.h,h,GPL-2.0-or-later,7,4bca4664902fdf66881661d31e7e41f534c3e578f26eab793a12570054e92edd,true
m_menu.c,engine/doomgeneric/doomgeneric/m_menu.c,c,GPL-2.0-or-later,10,a99fefbf729cab0df3b9f6e6786ed875200902df9a6f90198f175e4dbed257d1,true
m_menu.h,engine/doomgeneric/doomgeneric/m_menu.h,h,GPL-2.0-or-later,7,2fde0e8670363cf2892bf23ede67fc3ea6f47da8ed693924f85853000220654e,true
m_misc.c,engine/doomgeneric/doomgeneric/m_misc.c,c,GPL-2.0-or-later,11,450284db5111a05b57034f59dabdfc14715f37a154c8c7b4ba13775d0469b520,true
m_misc.h,engine/doomgeneric/doomgeneric/m_misc.h,h,GPL-2.0-or-later,7,1f3dc9e0e29d72142aa3a20985a7e3c342acb0573b98f7e513d962d50ee3c18f,true
m_random.c,engine/doomgeneric/doomgeneric/m_random.c,c,GPL-2.0-or-later,7,3f85e18bc1ea297a9760d2b8ead40d2618025f46e608987ee2eb5edff537dc42,true
m_random.h,engine/doomgeneric/doomgeneric/m_random.h,h,GPL-2.0-or-later,7,240aaac345d7d49bcf35f688955f9b9096639c670bd095fdf602fcd1eb784b6f,true
memio.c,engine/doomgeneric/doomgeneric/memio.c,c,GPL-2.0-or-later,7,c8008183f401bc1fc991dae7d75acaa19919a6dbbcb204c2b453801c97a01ec6,true
memio.h,engine/doomgeneric/doomgeneric/memio.h,h,GPL-2.0-or-later,7,f0389c43a2458b47fb2b4c364147fb7d3be22e56a92c2a7b7490d36852e47aea,true
net_client.h,engine/doomgeneric/doomgeneric/net_client.h,h,GPL-2.0-or-later,6,a877ed990b5acf707e15d4568aa1de084d17ac76560d1fb94017d803ba4600e9,true
net_dedicated.h,engine/doomgeneric/doomgeneric/net_dedicated.h,h,GPL-2.0-or-later,6,0e31286ecf64d6dcea2a66d831aae6ea6e811014cf374cbaae6995332207ff46,true
net_defs.h,engine/doomgeneric/doomgeneric/net_defs.h,h,GPL-2.0-or-later,6,e0475f4ee948874b7954fa2ea925a5085d187c9b325570edffa93421be7f8d66,true
net_gui.h,engine/doomgeneric/doomgeneric/net_gui.h,h,GPL-2.0-or-later,6,8d553992053e22fb500537304c156ebce1d05d9d7d45c7d784d239381ea55c8b,true
net_io.h,engine/doomgeneric/doomgeneric/net_io.h,h,GPL-2.0-or-later,6,f9e34bd6ae6f8744d8a4b3be7356dcfa8daf960a677468996e21c72dc87a488b,true
net_loop.h,engine/doomgeneric/doomgeneric/net_loop.h,h,GPL-2.0-or-later,6,9b10cb14adb84ce8969bb8484b1d81619740d192d26dd2d6b69b365077720bed,true
net_query.h,engine/doomgeneric/doomgeneric/net_query.h,h,GPL-2.0-or-later,6,56b33498f8385b84d47854e25f1d21f51840a1fb458e2aaf4064b58667232e34,true
net_sdl.h,engine/doomgeneric/doomgeneric/net_sdl.h,h,GPL-2.0-or-later,6,5694a047ad326fab7f5bd72a6bdb2d2820322591a9c15bdf7aa0a57205381d39,true
net_server.h,engine/doomgeneric/doomgeneric/net_server.h,h,GPL-2.0-or-later,6,4e51f4c26910f01ea1b5046acd33b17d4fa5826556c4396694af075b0277d75f,true
p_ceilng.c,engine/doomgeneric/doomgeneric/p_ceilng.c,c,GPL-2.0-or-later,7,c857169beb0f7e322818be2def51d92b61e725d94e7f50a059b317de7b8d59a2,true
p_doors.c,engine/doomgeneric/doomgeneric/p_doors.c,c,GPL-2.0-or-later,7,752021afc1ff9bd335877dbba0f9e2a63a60f3bd7aa45565b48b46cd17ee7a89,true
p_enemy.c,engine/doomgeneric/doomgeneric/p_enemy.c,c,GPL-2.0-or-later,7,0682104d6bae91b354b9ab5cbc97a389c933d9ea063a84793d74e767b695840f,true
p_floor.c,engine/doomgeneric/doomgeneric/p_floor.c,c,GPL-2.0-or-later,7,3c82b9cecf2f151954fb7353425a26c3f8c08e2758e8952975e2e69a4fa8c723,true
p_inter.c,engine/doomgeneric/doomgeneric/p_inter.c,c,GPL-2.0-or-later,7,ad5ac42dce60719d935587d97553527764ce965680518c19c502dc8e0690676e,true
p_inter.h,engine/doomgeneric/doomgeneric/p_inter.h,h,GPL-2.0-or-later,7,2f9700ceff75c19269a80be840ba9e04d951f3c9e9a3caf7534a7a2deaca0efb,true
p_lights.c,engine/doomgeneric/doomgeneric/p_lights.c,c,GPL-2.0-or-later,7,99ed7401ce7ee081dde8d53c7b487092a94cc3916db6ec4cdad9cef1d7d70495,true
p_local.h,engine/doomgeneric/doomgeneric/p_local.h,h,GPL-2.0-or-later,7,cb5cf1c53db846c426f8f5a9ecb7069f57f6c3ad839a87540c8b5ad38c18f959,true
p_map.c,engine/doomgeneric/doomgeneric/p_map.c,c,GPL-2.0-or-later,7,96f23d924c83ea446d2efad6206c7353a287c92f9de1a2631a339be3226dee93,true
p_maputl.c,engine/doomgeneric/doomgeneric/p_maputl.c,c,GPL-2.0-or-later,8,fe9616e29263b68b413c1f9ca13ddf56a5a646e94dd76e9d00477592cd16fa3d,true
p_mobj.c,engine/doomgeneric/doomgeneric/p_mobj.c,c,GPL-2.0-or-later,7,7a9a99c9b33058c9a93e88bb2ca18b9670bd3e39f367c15ebcde15602bcb4629,true
p_mobj.h,engine/doomgeneric/doomgeneric/p_mobj.h,h,GPL-2.0-or-later,7,bb648af3ba83252d071b154e469f90ddd621af69bd1abfa037eefe2bb713eb16,true
p_plats.c,engine/doomgeneric/doomgeneric/p_plats.c,c,GPL-2.0-or-later,7,61915b17d864f884e60d8c5709a414359ef202377c6a1eeb515a12951f0338da,true
p_pspr.c,engine/doomgeneric/doomgeneric/p_pspr.c,c,GPL-2.0-or-later,7,356186ea274bafcc75e2f777de3bd0287699a821b5392aff3668fc42901eb35d,true
p_pspr.h,engine/doomgeneric/doomgeneric/p_pspr.h,h,GPL-2.0-or-later,7,30dfd30d7f3c962825aac2e27eb9ae8ae04aa2c1da2179d9b410f1ba4e582031,true
p_saveg.c,engine/doomgeneric/doomgeneric/p_saveg.c,c,GPL-2.0-or-later,7,c686667a19a0b8f423adcd081e75959fa4a12c945558e410e943f75231b9eb29,true
p_saveg.h,engine/doomgeneric/doomgeneric/p_saveg.h,h,GPL-2.0-or-later,7,d30fa84bd211d08ec75d55ab7d1d82fb6dd75ca800fb50c94f0219d5466b08a7,true
p_setup.c,engine/doomgeneric/doomgeneric/p_setup.c,c,GPL-2.0-or-later,7,d5e7c9db345481b37bc14365c20598eac183b10f52394527fe64e25105aac163,true
p_setup.h,engine/doomgeneric/doomgeneric/p_setup.h,h,GPL-2.0-or-later,7,31e32300248e8f8b3d5227df8431a779e9e5a56319587e3b6139a5512bd5f55a,true
p_sight.c,engine/doomgeneric/doomgeneric/p_sight.c,c,GPL-2.0-or-later,7,c55cad9bdd3f538644f6ace3414f21670486b1bc6bd49eec087b817f84bc49f5,true
p_spec.c,engine/doomgeneric/doomgeneric/p_spec.c,c,GPL-2.0-or-later,7,7e673ddf52a802dabc835baa99d2e85b6996318c4298a8f42e93fdf1def6fa70,true
p_spec.h,engine/doomgeneric/doomgeneric/p_spec.h,h,GPL-2.0-or-later,7,7b1a784b913a043280fe8473a8103add76c08bd399812add0bc28557c5337481,true
p_switch.c,engine/doomgeneric/doomgeneric/p_switch.c,c,GPL-2.0-or-later,7,b5c1220321f0c51af058eb560e5663a2b46d99b4cbdfecb90335e78f229cf6b8,true
p_telept.c,engine/doomgeneric/doomgeneric/p_telept.c,c,GPL-2.0-or-later,7,ea70faa1e034ab41f55774196b9dc885e4c5095f13c539de4e9bb801e5765ccb,true
p_tick.c,engine/doomgeneric/doomgeneric/p_tick.c,c,GPL-2.0-or-later,7,939502c9bb2be6e20aef971ec2635b92dedc8f5a09ee09b2c9ed6061d0e67d6c,true
p_tick.h,engine/doomgeneric/doomgeneric/p_tick.h,h,GPL-2.0-or-later,7,ec870ec4dd2fdde43791537eb9ce2eabe404b7f24ead497b1b716a73b855a506,true
p_user.c,engine/doomgeneric/doomgeneric/p_user.c,c,GPL-2.0-or-later,9,8fca38ec060095e33a4877d9d289fea6016cb2b6c4028aa30a420dcd4e351c7c,true
r_bsp.c,engine/doomgeneric/doomgeneric/r_bsp.c,c,GPL-2.0-or-later,7,d5c5cdffb77cb41ec7d4455f3372349ca4b881c5be10b2ab59dd831f8d9dce01,true
r_bsp.h,engine/doomgeneric/doomgeneric/r_bsp.h,h,GPL-2.0-or-later,7,2e260d28d3a344ff4c8801006880af7aad1fa5c0698b7112b6fdb2e3522afd23,true
r_data.c,engine/doomgeneric/doomgeneric/r_data.c,c,GPL-2.0-or-later,7,e28621d64264eb44158fbfacf0bea6b329a0f358539f67fc5da57a1a1d5e72c5,true
r_data.h,engine/doomgeneric/doomgeneric/r_data.h,h,GPL-2.0-or-later,7,23e69480ea0caeb730d136167c8d3e80641235c348d7652d4672a29226cf7319,true
r_defs.h,engine/doomgeneric/doomgeneric/r_defs.h,h,GPL-2.0-or-later,7,2eac3ae253f4533f3488b0a6ebef080ab0025877c9e7deb4c1ef9c9ced74a377,true
r_draw.c,engine/doomgeneric/doomgeneric/r_draw.c,c,GPL-2.0-or-later,7,286a0f1ecf54bb535cd2817ccf08a528f4ebce7acc02a09e673fc053ff5f936b,true
r_draw.h,engine/doomgeneric/doomgeneric/r_draw.h,h,GPL-2.0-or-later,7,8ae4980fc1e1d5daa7abec7ffc5366a3171bde5dcc3ea27fa5ad0a1963447d4e,true
r_local.h,engine/doomgeneric/doomgeneric/r_local.h,h,GPL-2.0-or-later,7,4051897bf95f3197a322c37a6a72881a81914ec17f85e09ce4bf895e3b269094,true
r_main.c,engine/doomgeneric/doomgeneric/r_main.c,c,GPL-2.0-or-later,7,f0436b725f5436e71e285b33b58a67863284613863715b62c53eea59f45e8e11,true
r_main.h,engine/doomgeneric/doomgeneric/r_main.h,h,GPL-2.0-or-later,7,84a300d66a7589dfb9c41a636fd8f5e88a62c4791ea7f040837f8e24eaa07565,true
r_plane.c,engine/doomgeneric/doomgeneric/r_plane.c,c,GPL-2.0-or-later,7,c471e6bff460d497cc3ee1957de9c3508a857f1d47cfdf03bcb72a8f3850aab8,true
r_plane.h,engine/doomgeneric/doomgeneric/r_plane.h,h,GPL-2.0-or-later,7,9aacc4647c353a99e4001c404fe2b7fe74057173cbf6640956ef25d97d2574e0,true
r_segs.c,engine/doomgeneric/doomgeneric/r_segs.c,c,GPL-2.0-or-later,7,7c7c2fdd7a18245105e903d8eccdc87c72cd0645d4687a80517039c455811357,true
r_segs.h,engine/doomgeneric/doomgeneric/r_segs.h,h,GPL-2.0-or-later,7,32e8ad1862f727d2e91ac4805cfd4edbdaf1baa7c9c70ee19f1e847451ebbce6,true
r_sky.c,engine/doomgeneric/doomgeneric/r_sky.c,c,GPL-2.0-or-later,7,d152ec9b231970dcffe391fd1799d3acd2e9071d82c6299200db8aca72829c78,true
r_sky.h,engine/doomgeneric/doomgeneric/r_sky.h,h,GPL-2.0-or-later,7,6fafa97eaad9dd16507454898dd7709280bfaac30eec8e5336441f9ca1c42a28,true
r_state.h,engine/doomgeneric/doomgeneric/r_state.h,h,GPL-2.0-or-later,7,d7963fac387596c039d5bd0059be2f9df65b186fba7df8661671506f65172fe7,true
r_things.c,engine/doomgeneric/doomgeneric/r_things.c,c,GPL-2.0-or-later,7,ca8330ecf52cf435dfecbc2ed47a9671b5abbc0e14e4b06d4f7a3d9b46c5d726,true
r_things.h,engine/doomgeneric/doomgeneric/r_things.h,h,GPL-2.0-or-later,7,acf95b09aa6b44d88ab86f49d337edf24790b0df47708a8c861634e817389ea9,true
s_sound.c,engine/doomgeneric/doomgeneric/s_sound.c,c,GPL-2.0-or-later,7,180a67490230c6f20d9c6ca50a7cedcdb30e76e87c54addd1259085684942b24,true
s_sound.h,engine/doomgeneric/doomgeneric/s_sound.h,h,GPL-2.0-or-later,7,12ebef0baa9ebb0d992c246e4589cfc0afb9b5f15cb512c80897c1b3747b4040,true
sha1.c,engine/doomgeneric/doomgeneric/sha1.c,c,GPL-3.0-or-later,10,0aa4fc4d7801dace19989616981a675314060d8498952d0e30c913506e31b782,true
sha1.h,engine/doomgeneric/doomgeneric/sha1.h,h,GPL-2.0-or-later,6,3e4b43fb6a8f0eb9e1be5e5b2a2e9c20fe856883561b436c6348f834b005de11,true
sounds.c,engine/doomgeneric/doomgeneric/sounds.c,c,GPL-2.0-or-later,7,5bf98c8255a4c59cc6ecc9f649324b2e8bfd77f91d61d51657b658ba764d8971,true
sounds.h,engine/doomgeneric/doomgeneric/sounds.h,h,GPL-2.0-or-later,7,589681e6d6211b02eb6aac8e20bfeff2b6a2f79ff8d4dc7e4f5e1694d8b41e26,true
st_lib.c,engine/doomgeneric/doomgeneric/st_lib.c,c,GPL-2.0-or-later,7,d3e2efb70050e2836918efe8feabde84753aad30a820c38e56633b0fd117780c,true
st_lib.h,engine/doomgeneric/doomgeneric/st_lib.h,h,GPL-2.0-or-later,7,2bc5a669af14fc4941b2d505601ede23896baadc2f783ed2faff4a1e4688ff7c,true
st_stuff.c,engine/doomgeneric/doomgeneric/st_stuff.c,c,GPL-2.0-or-later,7,9a2e1a1d573751b7b58d35b58dc1562c5fb219e0b0cb56eadc4195bfb60c13e9,true
st_stuff.h,engine/doomgeneric/doomgeneric/st_stuff.h,h,GPL-2.0-or-later,7,06334ddd9ed5b7384a8951592d81cf3699e6be4e92fa0edaff7decf6b3edcdb4,true
statdump.c,engine/doomgeneric/doomgeneric/statdump.c,c,GPL-2.0-or-later,7,aa4053155f63146ba090364203721c93675ca2a21df503ad06171ae9c1706349,true
statdump.h,engine/doomgeneric/doomgeneric/statdump.h,h,GPL-2.0-or-later,7,8330770e7b2ed99f8be75e4fc2249cff5a3b8be46699ebda03052bee564f7f5e,true
tables.c,engine/doomgeneric/doomgeneric/tables.c,c,GPL-2.0-or-later,7,5787739bfcf975ea6f071aebeade8ae0740917388a72fc8c5c011c0eca16e873,true
